id_ip,group,group_class
6341,end-device,
6355,end-device,wifi client
6360,end-device,wifi client
6368,end-device,
6369,end-device,wifi client
6382,end-device,
6399,end-device,wifi client
6404,end-device,wifi client
6410,net-device,core router
6419,end-device,wifi client
6452,end-device,wifi client
6456,end-device,wifi client
6457,end-device,
6458,end-device,wifi client
6503,server,mail server
6519,end-device,wifi client
6537,end-device,wifi client
6615,end-device,
6617,end-device,wifi client
6629,server,bot
6637,net-device,core router
6639,end-device,wifi client
6677,end-device,workstation
6681,end-device,wifi client
6683,end-device,wifi client
6686,end-device,workstation
6696,end-device,wifi client
6698,end-device,workstation
6737,end-device,workstation
6738,server,
6740,server,
6741,server,web server
6749,end-device,
6753,server,
6754,end-device,printer
6764,server,
6768,server,web server
6769,server,web server
6770,server,dns server
6775,server,
6778,end-device,wifi client
6780,server,dns server
6781,net-device,core router
6782,end-device,
6787,end-device,
6788,server,web server
6789,server,
6796,server,
6799,server,dns server
6800,server,web server
6801,server,
6806,server,web server
6808,end-device,workstation
6809,end-device,workstation
6810,server,
6814,server,web server
6815,server,web server
6817,end-device,
6818,server,web server
6819,end-device,wifi client
6828,server,web server
6829,end-device,wifi client
6832,end-device,wifi client
6833,end-device,
6844,end-device,workstation
6850,end-device,wifi client
6863,end-device,wifi client
6875,end-device,workstation
6895,end-device,
6899,end-device,
6901,end-device,wifi client
6905,end-device,wifi client
6911,end-device,
6917,net-device,core router
6926,end-device,wifi client
6932,end-device,
6947,end-device,
6959,end-device,wifi client
6978,end-device,wifi client
6992,end-device,wifi client
6997,end-device,workstation
7013,end-device,
7027,end-device,workstation
7029,end-device,
7043,end-device,workstation
7047,end-device,wifi client
7054,end-device,wifi client
7055,end-device,wifi client
7061,end-device,wifi client
7069,end-device,
7075,end-device,wifi client
7083,end-device,
7097,end-device,workstation
7111,end-device,workstation
7120,end-device,wifi client
7126,server,vpn server
7141,end-device,wifi client
7160,end-device,wifi client
7166,end-device,wifi client
7169,end-device,wifi client
7172,net-device,wifi router
7187,end-device,workstation
7191,net-device,core router
7203,end-device,wifi client
7208,server,
7214,end-device,workstation
7219,end-device,wifi client
7223,end-device,
7230,end-device,workstation
7238,end-device,wifi client
7248,end-device,wifi client
7261,end-device,wifi client
7268,server,vpn server
7298,end-device,wifi client
7308,end-device,wifi client
7314,end-device,
7318,end-device,
7323,end-device,wifi client
7324,end-device,
7328,server,web server
7331,end-device,wifi client
7337,end-device,ip camera
7353,end-device,wifi client
7355,server,
7356,end-device,workstation
7379,end-device,ip camera
7396,end-device,workstation
7412,end-device,workstation
7425,end-device,wifi client
7437,end-device,wifi client
7439,end-device,workstation
7448,server,web server
7450,end-device,workstation
7460,end-device,wifi client
7471,server,smtp server
7492,end-device,voip
7516,end-device,
7552,end-device,
7554,end-device,
7561,server,mail server
7565,end-device,workstation
7570,end-device,wifi client
7589,end-device,wifi client
7595,end-device,workstation
7598,end-device,
7617,end-device,wifi client
7634,server,mail server
7635,end-device,
7657,end-device,workstation
7662,end-device,wifi client
7679,end-device,wifi client
7683,end-device,wifi client
7692,end-device,
7698,end-device,workstation
7699,end-device,workstation
7708,end-device,workstation
7735,server,
7737,server,data server
7759,end-device,
7760,end-device,voip
7763,server,mail server
7767,end-device,workstation
7774,server,
7776,net-device,wifi router
7777,end-device,wifi client
7802,end-device,wifi client
7816,end-device,
7835,end-device,workstation
7836,end-device,wifi client
7838,end-device,workstation
7848,end-device,
7855,end-device,workstation
7859,end-device,workstation
7860,server,data server
7874,server,mail server
7876,end-device,
7877,end-device,wifi client
7895,server,mail server
7907,end-device,wifi client
7909,end-device,workstation
7927,net-device,core router
7949,end-device,workstation
7959,end-device,wifi client
7962,end-device,wifi client
7978,server,metacentrum
7988,end-device,workstation
8002,end-device,workstation
8018,end-device,workstation
8019,net-device,core router
8028,end-device,wifi client
8029,end-device,voip
8043,end-device,wifi client
8059,end-device,wifi client
8067,end-device,workstation
8074,end-device,
8079,end-device,
8089,end-device,wifi client
8107,end-device,
8132,server,metacentrum
8133,end-device,wifi client
8137,end-device,
8153,server,web server
8154,net-device,core router
8162,end-device,wifi client
8166,server,web server
8170,server,dns server
8171,server,
8180,end-device,wifi client
8184,server,web server
8191,end-device,workstation
8198,server,mail server
8200,end-device,workstation
8201,server,web server
8202,server,
8203,end-device,
8207,server,web server
8210,end-device,wifi client
8215,end-device,workstation
8216,end-device,workstation
8219,end-device,workstation
8223,end-device,
8234,end-device,wifi client
8237,server,
8252,end-device,
8271,end-device,wifi client
8281,end-device,wifi client
8288,end-device,
8299,end-device,
8305,end-device,workstation
8315,net-device,core router
8323,end-device,
8324,end-device,workstation
8341,end-device,
8358,end-device,workstation
8364,end-device,wifi client
8366,end-device,wifi client
8371,end-device,workstation
8390,end-device,wifi client
8404,end-device,
8408,end-device,workstation
8418,server,metacentrum
8432,server,dns server
8442,end-device,
8459,end-device,workstation
8462,end-device,
8470,end-device,wifi client
8472,net-device,core router
8473,end-device,wifi client
8476,end-device,wifi client
8492,end-device,wifi client
8505,end-device,
8514,end-device,workstation
8537,end-device,workstation
8542,end-device,workstation
8545,net-device,wifi router
8548,end-device,wifi client
8555,end-device,wifi client
8587,end-device,workstation
8592,server,data server
8593,end-device,wifi client
8606,end-device,workstation
8614,net-device,core router
8620,end-device,wifi client
8622,end-device,wifi client
8642,end-device,workstation
8650,end-device,wifi client
8666,end-device,wifi client
8673,end-device,printer
8684,server,metacentrum
8685,end-device,wifi client
8718,end-device,wifi client
8728,end-device,workstation
8730,server,vpn server
8733,end-device,wifi client
8762,end-device,wifi client
8763,end-device,workstation
8772,end-device,wifi client
8791,end-device,
8802,end-device,workstation
8809,end-device,wifi client
8812,end-device,workstation
8840,end-device,
8844,end-device,wifi client
8855,end-device,
8897,end-device,
8911,end-device,
8925,net-device,wifi router
8933,end-device,wifi client
8939,end-device,wifi client
8951,end-device,workstation
8953,end-device,workstation
8954,end-device,
8958,end-device,wifi client
8962,end-device,workstation
8967,end-device,workstation
8972,end-device,wifi client
8975,end-device,wifi client
8980,end-device,wifi client
8990,end-device,wifi client
8998,end-device,wifi client
9005,end-device,workstation
9011,server,metacentrum
9021,end-device,wifi client
9035,server,mail server
9039,net-device,wifi router
9052,end-device,voip
9054,end-device,wifi client
9061,server,vpn server
9066,end-device,wifi client
9082,end-device,
9088,end-device,wifi client
9089,end-device,
9092,end-device,workstation
9115,end-device,
9118,end-device,workstation
9140,end-device,wifi client
9161,end-device,
9164,server,
9170,end-device,wifi client
9193,server,vpn server
9222,server,
9227,end-device,wifi client
9231,server,metacentrum
9249,end-device,
9257,end-device,wifi client
9260,server,metacentrum
9261,server,
9267,end-device,wifi client
9270,net-device,core router
9271,server,
9278,end-device,
9286,end-device,
9305,end-device,wifi client
9311,end-device,workstation
9335,server,metacentrum
9341,end-device,
9352,end-device,
9363,server,metacentrum
9373,end-device,wifi client
9380,end-device,
9394,server,vpn server
9414,end-device,workstation
9432,end-device,wifi client
9443,end-device,
9445,end-device,wifi client
9448,end-device,workstation
9455,end-device,wifi client
9457,end-device,wifi client
9462,end-device,wifi client
9490,end-device,
9493,end-device,wifi client
9494,end-device,workstation
9499,server,web server
9507,server,web server
9518,end-device,wifi client
9522,end-device,workstation
9523,server,web server
9527,end-device,workstation
9536,server,web server
9538,server,
9561,end-device,
9567,end-device,wifi client
9570,server,proxy server
9574,end-device,
9594,end-device,wifi client
9595,server,smtp server
9611,end-device,wifi client
9618,server,web server
9621,net-device,wifi router
9624,server,web server
9631,server,
9639,end-device,wifi client
9643,end-device,wifi client
9656,net-device,core router
9687,end-device,wifi client
9736,end-device,
9738,end-device,voip
9754,end-device,wifi client
9757,end-device,wifi client
9764,end-device,wifi client
9770,end-device,wifi client
9775,end-device,workstation
9782,end-device,workstation
9815,end-device,workstation
9819,end-device,wifi client
9830,end-device,workstation
9851,server,
9863,net-device,core router
9865,end-device,workstation
9867,end-device,
9880,end-device,wifi client
9896,end-device,wifi client
9901,end-device,
9904,end-device,workstation
9906,end-device,wifi client
9917,end-device,wifi client
9928,end-device,workstation
9931,end-device,
9932,end-device,wifi client
9936,end-device,workstation
9946,end-device,
9947,end-device,
9952,end-device,workstation
9964,end-device,wifi client
9977,end-device,
9998,server,metacentrum
10017,end-device,voip
10031,end-device,wifi client
10054,end-device,
10065,server,vpn server
10068,end-device,
10072,end-device,wifi client
10080,end-device,
10084,end-device,wifi client
10089,end-device,
10102,end-device,workstation
10104,end-device,wifi client
10113,end-device,wifi client
10124,end-device,workstation
10125,end-device,printer
10126,server,metacentrum
10138,end-device,wifi client
10143,end-device,wifi client
10144,end-device,wifi client
10157,server,web server
10158,end-device,workstation
10160,end-device,workstation
10161,server,vpn server
10165,end-device,
10167,end-device,wifi client
10188,end-device,wifi client
10194,server,mail server
10202,end-device,wifi client
10207,end-device,workstation
10208,server,web server
10221,end-device,workstation
10227,end-device,wifi client
10235,end-device,
10237,end-device,workstation
10252,server,git server
10259,end-device,workstation
10266,end-device,
10275,end-device,workstation
10278,server,
10280,server,proxy server
10290,end-device,workstation
10304,end-device,workstation
10312,end-device,workstation
10314,server,authentication server
10320,end-device,wifi client
10330,end-device,wifi client
10334,end-device,
10336,end-device,wifi client
10338,end-device,
10364,end-device,wifi client
10369,end-device,workstation
10375,end-device,workstation
10397,end-device,workstation
10398,end-device,
10407,end-device,wifi client
10408,end-device,workstation
10416,end-device,wifi client
10417,end-device,workstation
10419,end-device,ip camera
10429,end-device,
10438,net-device,core router
10441,server,
10461,end-device,
10465,net-device,core router
10477,end-device,workstation
10481,end-device,
10499,end-device,
10502,end-device,wifi client
10512,end-device,wifi client
10519,end-device,wifi client
10523,net-device,wifi router
10540,end-device,wifi client
10553,end-device,
10560,end-device,wifi client
10577,end-device,
10583,end-device,workstation
10585,end-device,
10592,end-device,workstation
10601,end-device,wifi client
10619,server,
10627,end-device,workstation
10630,end-device,workstation
10641,end-device,wifi client
10665,end-device,
10672,end-device,wifi client
10676,end-device,workstation
10689,end-device,wifi client
10701,server,metacentrum
10707,end-device,wifi client
10719,end-device,wifi client
10723,end-device,
10731,end-device,workstation
10760,net-device,core router
10764,end-device,wifi client
10768,end-device,wifi client
10776,end-device,workstation
10782,end-device,wifi client
10783,net-device,core router
10788,server,web server
10796,end-device,wifi client
10800,end-device,workstation
10802,end-device,wifi client
10805,end-device,wifi client
10815,end-device,workstation
10816,server,proxy server
10820,end-device,
10832,server,cloud
10859,end-device,
10865,end-device,voip
10870,end-device,wifi client
10887,end-device,printer
10891,end-device,wifi client
10899,server,vpn server
10907,end-device,workstation
10913,end-device,workstation
10917,end-device,workstation
10923,end-device,voip
10941,server,dns server
10942,end-device,voip
10952,end-device,wifi client
10953,end-device,wifi client
10955,end-device,workstation
10982,end-device,wifi client
10990,net-device,core router
10991,server,web server
10999,net-device,core router
11001,server,web server
11024,end-device,
11047,server,nas server
11048,end-device,wifi client
11050,end-device,wifi client
11052,end-device,
11057,end-device,
11060,end-device,wifi client
11068,net-device,core router
11069,server,web server
11076,end-device,wifi client
11079,end-device,wifi client
11081,server,ntp server
11084,net-device,core router
11093,end-device,workstation
11095,end-device,workstation
11098,end-device,wifi client
11101,end-device,
11110,end-device,
11116,server,web server
11117,server,
11118,end-device,wifi client
11129,end-device,workstation
11131,end-device,wifi client
